18-18-38: asset: BTCUSDT, rsi: 30.7755, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-18-49: asset: BTCUSDT, rsi: 33.2659, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-19-00: asset: BTCUSDT, rsi: 30.4255, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-19-12: asset: BTCUSDT, rsi: 30.4776, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-19-23: asset: BTCUSDT, rsi: 28.2168, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-19-35: asset: BTCUSDT, rsi: 28.9846, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-19-46: asset: BTCUSDT, rsi: 28.6462, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-19-58: asset: BTCUSDT, rsi: 28.2172, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-20-09: asset: BTCUSDT, rsi: 30.5501, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-20-21: asset: BTCUSDT, rsi: 27.8369, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-20-33: asset: BTCUSDT, rsi: 27.8747, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-20-44: asset: BTCUSDT, rsi: 26.4210, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-20-56: asset: BTCUSDT, rsi: 27.8747, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-21-08: asset: BTCUSDT, rsi: 34.0395, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-21-20: asset: BTCUSDT, rsi: 34.0395, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-21-31: asset: BTCUSDT, rsi: 30.3974, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-21-43: asset: BTCUSDT, rsi: 27.3040, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-21-56: asset: BTCUSDT, rsi: 23.9476, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-22-07: asset: BTCUSDT, rsi: 25.7923, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-22-19: asset: BTCUSDT, rsi: 31.1753, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-22-30: asset: BTCUSDT, rsi: 38.6230, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-22-41: asset: BTCUSDT, rsi: 31.0731, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
18-22-53: asset: BTCUSDT, rsi: 30.9460, balance: {'asset': 'BTC', 'free': '1.00000000', 'locked': '0.00000000'}
